Utility,Facility Name,Location,KM/MFM/ MV Panel Ref#,Meter Reading Date,Meter Reading,Consumption Month,Consumption,Previous Date,Previous Reading,
Electricity,ECCH Lot #1 - Tenant Area,"2A2/5, 21f Assal Circle",194955,7/24/2024,15772,Jul-24,4841,6/24/2024,10931,
Electricity,ECCH Lot #1 - Tenant Area,"2A2/6, 21e Assal Circle",194956,7/24/2024,20936,Jul-24,4895,6/24/2024,16041,
Electricity,ECCH Lot #1 - Tenant Area,"2A2/7, 21h Assal Circle",194957,7/24/2024,17621,Jul-24,3982,6/24/2024,13639,
Electricity,ECCH Lot #1 - Tenant Area,"2A2/8, 21g Assal Circle",194958,7/24/2024,15097,Jul-24,3839,6/24/2024,11258,
Electricity,ECCH Lot #1 - Tenant Area,"2A3/1, 19b Assal Circle",194969,7/24/2024,21120,Jul-24,4678,6/24/2024,16442,
Electricity,ECCH Lot #1 - Tenant Area,"2A3/4, 19c Assal Circle",194967,7/24/2024,13889,Jul-24,5227,6/24/2024,8662,
Electricity,ECCH Lot #1 - Tenant Area,"2A3/5, 19f Assal Circle",194965,7/24/2024,16502,Jul-24,3495,6/24/2024,13007,
Electricity,ECCH Lot #1 - Tenant Area,"2A3/6, 19e Assal Circle",194972,7/24/2024,11749,Jul-24,3704,6/24/2024,8045,
Electricity,ECCH Lot #1 - Tenant Area,"2A3/7, 19h Assal Circle",194970,7/24/2024,12663,Jul-24,4741,6/24/2024,7922,
Electricity,ECCH Lot #1 - Tenant Area,"2A3/8, 19g Assal Circle",194971,7/24/2024,20411,Jul-24,4582,6/24/2024,15829,
Electricity,ECCH Lot #1 - Tenant Area,"2A4/1, 17b Assal Circle",194913,7/24/2024,15099,Jul-24,4870,6/24/2024,10229,
Electricity,ECCH Lot #1 - Tenant Area,"2A4/2, 17a Assal Circle",194914,7/24/2024,14456,Jul-24,4052,6/24/2024,10404,
Electricity,ECCH Lot #1 - Tenant Area,"2A4/3, 17d Assal Circle",194915,7/24/2024,18973,Jul-24,4241,6/24/2024,14732,
Electricity,ECCH Lot #1 - Tenant Area,"2A4/4, 17c Assal Circle",194916,7/24/2024,18943,Jul-24,4427,6/24/2024,14516,
Electricity,ECCH Lot #1 - Tenant Area,"2A4/5, 17f Assal Circle",194917,7/24/2024,20934,Jul-24,5063,6/24/2024,15871,
Electricity,ECCH Lot #1 - Tenant Area,"2A4/6, 17e Assal Circle",194918,7/24/2024,20384,Jul-24,6579,6/24/2024,13805,
Electricity,ECCH Lot #1 - Tenant Area,"2A4/7, 17h Assal Circle",194919,7/24/2024,13904,Jul-24,3135,6/24/2024,10769,
Electricity,ECCH Lot #1 - Tenant Area,"2A4/8, 17g Assal Circle",194920,7/24/2024,19397,Jul-24,4246,6/24/2024,15151,
Electricity,ECCH Lot #1 - Tenant Area,"2A5/1, 5b Assal Circle",194818,7/24/2024,16142,Jul-24,3998,6/24/2024,12144,
Electricity,ECCH Lot #1 - Tenant Area,"2A5/2, 5a Assal Circle",194819,7/24/2024,17658,Jul-24,5185,6/24/2024,12473,
Electricity,ECCH Lot #1 - Tenant Area,"2A5/3, 5d Assal Circle",194820,7/24/2024,21222,Jul-24,4881,6/24/2024,16341,
Electricity,ECCH Lot #1 - Tenant Area,"2A5/4, 5c Assal Circle",194821,7/24/2024,18330,Jul-24,4030,6/24/2024,14300,
Electricity,ECCH Lot #1 - Tenant Area,"2A5/5, 5f Assal Circle",194822,7/24/2024,21249,Jul-24,4616,6/24/2024,16633,
Electricity,ECCH Lot #1 - Tenant Area,"2A5/6, 5e Assal Circle",194823,7/24/2024,18634,Jul-24,4587,6/24/2024,14047,
Electricity,ECCH Lot #1 - Tenant Area,"2A5/7, 5h Assal Circle",194824,7/24/2024,16288,Jul-24,3876,6/24/2024,12412,
Electricity,ECCH Lot #1 - Tenant Area,"2A5/8, 5g Assal Circle",194825,7/24/2024,17948,Jul-24,3865,6/24/2024,14083,
Electricity,ECCH Lot #1 - Tenant Area,"2A6/1, 3b Assal Circle",194827,7/24/2024,18210,Jul-24,4212,6/24/2024,13998,
Electricity,ECCH Lot #1 - Tenant Area,"2A6/2, 3a Assal Circle",194828,7/24/2024,18397,Jul-24,4198,6/24/2024,14199,
Electricity,ECCH Lot #1 - Tenant Area,"2A6/3, 3d Assal Circle",194833,7/24/2024,14972,Jul-24,4989,6/24/2024,9983,
Electricity,ECCH Lot #1 - Tenant Area,"2A6/4, 3c Assal Circle",194834,7/24/2024,20119,Jul-24,4044,6/24/2024,16075,
Electricity,ECCH Lot #1 - Tenant Area,"2A6/5, 3f Assal Circle",194831,7/24/2024,14938,Jul-24,4347,6/24/2024,10591,
Electricity,ECCH Lot #1 - Tenant Area,"2A6/6, 3e Assal Circle",194832,7/24/2024,22924,Jul-24,4649,6/24/2024,18275,
Electricity,ECCH Lot #1 - Tenant Area,"2A6/7, 3h Assal Circle",194829,7/24/2024,12714,Jul-24,4067,6/24/2024,8647,
Electricity,ECCH Lot #1 - Tenant Area,"2A6/8, 3g Assal Circle",194830,7/24/2024,21460,Jul-24,4305,6/24/2024,17155,
Electricity,ECCH Lot #1 - Tenant Area,"2A7/1, 1b Assal Circle",194836,7/24/2024,17363,Jul-24,4727,6/24/2024,12636,
Electricity,ECCH Lot #1 - Tenant Area,"2A7/2, 1a Assal Circle",194837,7/24/2024,16856,Jul-24,4407,6/24/2024,12449,
Electricity,ECCH Lot #1 - Tenant Area,"2A7/3, 1d Assal Circle",194838,7/24/2024,6148,Jul-24,3603,6/24/2024,2545,
Electricity,ECCH Lot #1 - Tenant Area,"2A7/4, 1c Assal Circle",194839,7/24/2024,16321,Jul-24,4136,6/24/2024,12185,
Electricity,ECCH Lot #1 - Tenant Area,"2A7/5, 1f Assal Circle",194840,7/24/2024,3303,Jul-24,232,6/24/2024,3071,
Electricity,ECCH Lot #1 - Tenant Area,"2A7/6, 1e Assal Circle",194841,7/24/2024,11749,Jul-24,4118,6/24/2024,7631,
Electricity,ECCH Lot #1 - Tenant Area,"2A7/7, 1h Assal Circle",194842,7/24/2024,5639,Jul-24,4087,6/24/2024,1552,
Electricity,ECCH Lot #1 - Tenant Area,"2A7/8, 1g Assal Circle",194843,7/24/2024,12180,Jul-24,3800,6/24/2024,8380,
Electricity,ECCH Lot #1 - Tenant Area,"2A8/1, 35b Assal Circle",195027,7/24/2024,20735,Jul-24,3575,6/24/2024,17160,
Electricity,ECCH Lot #1 - Tenant Area,"2A8/2, 35a Assal Circle",195028,7/24/2024,16515,Jul-24,4541,6/24/2024,11974,
Electricity,ECCH Lot #1 - Tenant Area,"2A8/3, 35d Assal Circle",195029,7/24/2024,15542,Jul-24,3275,6/24/2024,12267,
Electricity,ECCH Lot #1 - Tenant Area,"2A8/4, 35c Assal Circle",195030,7/24/2024,9864,Jul-24,4698,6/24/2024,5166,
Electricity,ECCH Lot #1 - Tenant Area,"2A8/5, 35f Assal Circle",195031,7/24/2024,19397,Jul-24,4304,6/24/2024,15093,
Electricity,ECCH Lot #1 - Tenant Area,"2A8/6, 35e Assal Circle",195032,7/24/2024,21641,Jul-24,4413,6/24/2024,17228,
Electricity,ECCH Lot #1 - Tenant Area,"2A8/7, 35h Assal Circle",195033,7/24/2024,19505,Jul-24,4624,6/24/2024,14881,
Electricity,ECCH Lot #1 - Tenant Area,"2A8/8, 35g Assal Circle",195034,7/24/2024,20550,Jul-24,4902,6/24/2024,15648,
Electricity,ECCH Lot #1 - Tenant Area,"2A9/1, 33b Assal Circle",195036,7/24/2024,15785,Jul-24,4449,6/24/2024,11336,
Electricity,ECCH Lot #1 - Tenant Area,"2A9/2, 33a Assal Circle",195037,7/24/2024,20751,Jul-24,2214,6/24/2024,18537,
Electricity,ECCH Lot #1 - Tenant Area,"2A9/3, 33d Assal Circle",195038,7/24/2024,9874,Jul-24,4798,6/24/2024,5076,
Electricity,ECCH Lot #1 - Tenant Area,"2A9/4, 33c Assal Circle",195039,7/24/2024,21689,Jul-24,5605,6/24/2024,16084,
Electricity,ECCH Lot #1 - Tenant Area,"2A9/5, 33f Assal Circle",195040,7/24/2024,23129,Jul-24,5106,6/24/2024,18023,
Electricity,ECCH Lot #1 - Tenant Area,"2A9/6, 33e Assal Circle",195041,7/24/2024,17867,Jul-24,4142,6/24/2024,13725,
Electricity,ECCH Lot #1 - Tenant Area,"2A9/7, 33h Assal Circle",195042,7/24/2024,15056,Jul-24,3770,6/24/2024,11286,
Electricity,ECCH Lot #1 - Tenant Area,"2A9/8, 33g Assal Circle",195043,7/24/2024,232103,Jul-24,3581,6/24/2024,228522,
Electricity,ECCH Lot #1 - Tenant Area,"2D1, 5a Hanwa Street",194929,7/24/2024,52480,Jul-24,6514,6/24/2024,45966,
Electricity,ECCH Lot #1 - Tenant Area,"2D10, 6a Hanwa Street",194981,7/24/2024,58953,Jul-24,7705,6/24/2024,51248,
Electricity,ECCH Lot #1 - Tenant Area,"2D11, 4b Hanwa Street",194982,7/24/2024,67416,Jul-24,6675,6/24/2024,60741,
Electricity,ECCH Lot #1 - Tenant Area,"2D12, 4a Hanwa Street",194937,7/24/2024,58407,Jul-24,6333,6/24/2024,52074,
Electricity,ECCH Lot #1 - Tenant Area,"2D13, 2b Hanwa Street",194938,7/24/2024,51918,Jul-24,4850,6/24/2024,47068,
Electricity,ECCH Lot #1 - Tenant Area,"2D14, 2a Hanwa Street",194939,7/24/2024,53273,Jul-24,5485,6/24/2024,47788,
Electricity,ECCH Lot #1 - Tenant Area,"2D15, 26b Assal Circle",194940,7/24/2024,51752,Jul-24,5420,6/24/2024,46332,
Electricity,ECCH Lot #1 - Tenant Area,"2D16, 26a Assal Circle",194941,7/24/2024,63126,Jul-24,5854,6/24/2024,57272,
Electricity,ECCH Lot #1 - Tenant Area,"2D17, 24b Assal Circle",194942,7/24/2024,69567,Jul-24,9002,6/24/2024,60565,
Electricity,ECCH Lot #1 - Tenant Area,"2D18, 24a Assal Circle",194943,7/24/2024,70462,Jul-24,9219,6/24/2024,61243,
Electricity,ECCH Lot #1 - Tenant Area,"2D19, 22b Assal Circle",194944,7/24/2024,70746,Jul-24,7581,6/24/2024,63165,
Electricity,ECCH Lot #1 - Tenant Area,"2D2, 5b Hanwa Street",194930,7/24/2024,49894,Jul-24,1410,6/24/2024,48484,
Electricity,ECCH Lot #1 - Tenant Area,"2D20, 22a Assal Circle",194945,7/24/2024,58363,Jul-24,8164,6/24/2024,50199,
Electricity,ECCH Lot #1 - Tenant Area,"2D21, 12b Assal Circle",194889,7/24/2024,66056,Jul-24,1514,6/24/2024,64542,
Electricity,ECCH Lot #1 - Tenant Area,"2D22, 12a Assal Circle",194890,7/24/2024,56026,Jul-24,5368,6/24/2024,50658,
Electricity,ECCH Lot #1 - Tenant Area,"2D23, 10b Assal Circle",194891,7/24/2024,70612,Jul-24,11249,6/24/2024,59363,
Electricity,ECCH Lot #1 - Tenant Area,"2D24, 10a Assal Circle",194892,7/24/2024,47578,Jul-24,4222,6/24/2024,43356,
Electricity,ECCH Lot #1 - Tenant Area,"2D25, 8b Assal Circle",194864,7/24/2024,62827,Jul-24,9143,6/24/2024,53684,
Electricity,ECCH Lot #1 - Tenant Area,"2D26, 8a Assal Circle",194865,7/24/2024,50178,Jul-24,1732,6/24/2024,48446,
Electricity,ECCH Lot #1 - Tenant Area,"2D27, 6b Khatme Street",194866,7/24/2024,68085,Jul-24,7313,6/24/2024,60772,
Electricity,ECCH Lot #1 - Tenant Area,"2D28, 6a Khatme Street",194867,7/24/2024,68067,Jul-24,8540,6/24/2024,59527,
Electricity,ECCH Lot #1 - Tenant Area,"2D29, 4b Khatme Street",194868,7/24/2024,58105,Jul-24,5210,6/24/2024,52895,
Electricity,ECCH Lot #1 - Tenant Area,"2D3, 3a Hanwa Street",194931,7/24/2024,45471,Jul-24,4711,6/24/2024,40760,
Electricity,ECCH Lot #1 - Tenant Area,"2D30, 4a Khatme Street",194869,7/24/2024,77271,Jul-24,7501,6/24/2024,69770,
Electricity,ECCH Lot #1 - Tenant Area,"2D31, 2b Khatme Street",194870,7/24/2024,59475,Jul-24,5491,6/24/2024,53984,
Electricity,ECCH Lot #1 - Tenant Area,"2D32, 2a Khatme Street",194871,7/24/2024,53754,Jul-24,4803,6/24/2024,48951,
Electricity,ECCH Lot #1 - Tenant Area,"2D33, 6b Assal Circle",194812,7/24/2024,57481,Jul-24,4830,6/24/2024,52651,
Electricity,ECCH Lot #1 - Tenant Area,"2D34, 6a Assal Circle",194813,7/24/2024,52853,Jul-24,4808,6/24/2024,48045,
Electricity,ECCH Lot #1 - Tenant Area,"2D35, 4b Assal Circle",194814,7/24/2024,57065,Jul-24,4922,6/24/2024,52143,
Electricity,ECCH Lot #1 - Tenant Area,"2D36, 4a Assal Circle",194815,7/24/2024,45701,Jul-24,5375,6/24/2024,40326,
Electricity,ECCH Lot #1 - Tenant Area,"2D37, 2b Assal Circle",194816,7/24/2024,55512,Jul-24,8128,6/24/2024,47384,
Electricity,ECCH Lot #1 - Tenant Area,"2D38, 2a Assal Circle",194817,7/24/2024,58100,Jul-24,5581,6/24/2024,52519,
Electricity,ECCH Lot #1 - Tenant Area,"2D39, 32b Assal Circle",195015,7/24/2024,63486,Jul-24,5892,6/24/2024,57594,
Electricity,ECCH Lot #1 - Tenant Area,"2D4, 3b Hanwa Street",194932,7/24/2024,73670,Jul-24,7725,6/24/2024,65945,
Electricity,ECCH Lot #1 - Tenant Area,"2D40, 32a Assal Circle",195016,7/24/2024,65975,Jul-24,7086,6/24/2024,58889,
Electricity,ECCH Lot #1 - Tenant Area,"2D41, 30b Assal Circle",195017,7/24/2024,73516,Jul-24,6097,6/24/2024,67419,
Electricity,ECCH Lot #1 - Tenant Area,"2D42, 30a Assal Circle",195018,7/24/2024,73486,Jul-24,7740,6/24/2024,65746,
Electricity,ECCH Lot #1 - Tenant Area,"2D43, 28b Assal Circle",195019,7/24/2024,64383,Jul-24,6297,6/24/2024,58086,
Electricity,ECCH Lot #1 - Tenant Area,"2D44, 28a Assal Circle",195020,7/24/2024,41811,Jul-24,5806,6/24/2024,36005,
Electricity,ECCH Lot #1 - Tenant Area,"2D45, 29a Assal Circle",195021,7/24/2024,60208,Jul-24,6042,6/24/2024,54166,
Electricity,ECCH Lot #1 - Tenant Area,"2D46, 29b Assal Circle",195022,7/24/2024,66322,Jul-24,7728,6/24/2024,58594,
Electricity,ECCH Lot #1 - Tenant Area,"2D47, 27a Assal Circle",194983,7/24/2024,64119,Jul-24,6587,6/24/2024,57532,
Electricity,ECCH Lot #1 - Tenant Area,"2D48, 27b Assal Circle",194984,7/24/2024,56426,Jul-24,5848,6/24/2024,50578,
Electricity,ECCH Lot #1 - Tenant Area,"2D49, 7a Hanwa Street",194985,7/24/2024,66710,Jul-24,6393,6/24/2024,60317,
Electricity,ECCH Lot #1 - Tenant Area,"2D5, 1a Hanwa Street",194933,7/24/2024,59687,Jul-24,6327,6/24/2024,53360,
Electricity,ECCH Lot #1 - Tenant Area,"2D50, 7b Hanwa Street",194986,7/24/2024,57931,Jul-24,6021,6/24/2024,51910,
Electricity,ECCH Lot #1 - Tenant Area,"2D51, 2b Jaad Court",195023,7/24/2024,59000,Jul-24,5911,6/24/2024,53089,
Electricity,ECCH Lot #1 - Tenant Area,"2D52, 2a Jaad Court",195024,7/24/2024,56132,Jul-24,5384,6/24/2024,50748,
Electricity,ECCH Lot #1 - Tenant Area,"2D53, 1a Jaad Court",195025,7/24/2024,57942,Jul-24,6956,6/24/2024,50986,
Electricity,ECCH Lot #1 - Tenant Area,"2D54, 1b Jaad Court",195026,7/24/2024,69196,Jul-24,7306,6/24/2024,61890,
Electricity,ECCH Lot #1 - Tenant Area,"2D6, 1b Hanwa Street",194934,7/24/2024,83985,Jul-24,9612,6/24/2024,74373,
Electricity,ECCH Lot #1 - Tenant Area,"2D7, 25a Assal Circle",194935,7/24/2024,44993,Jul-24,5037,6/24/2024,39956,
Electricity,ECCH Lot #1 - Tenant Area,"2D8, 25b Assal Circle",194936,7/24/2024,54895,Jul-24,5655,6/24/2024,49240,
Electricity,ECCH Lot #1 - Tenant Area,"2D9, 6b Hanwa Street",194980,7/24/2024,73177,Jul-24,10072,6/24/2024,63105,
Electricity,ECCH Lot #1 - Tenant Area,"3A1/1, 15b Assal Circle",194893,7/24/2024,55958,Jul-24,3989,6/24/2024,51969,
Electricity,ECCH Lot #1 - Tenant Area,"3A1/2, 15a Assal Circle",194894,7/24/2024,55128,Jul-24,5652,6/24/2024,49476,
Electricity,ECCH Lot #1 - Tenant Area,"3A1/3, 15d Assal Circle",194895,7/24/2024,74471,Jul-24,7675,6/24/2024,66796,
Electricity,ECCH Lot #1 - Tenant Area,"3A1/4, 15c Assal Circle",194896,7/24/2024,46182,Jul-24,7549,6/24/2024,38633,
Electricity,ECCH Lot #1 - Tenant Area,"3A2/1, 13b Assal Circle",194898,7/24/2024,55555,Jul-24,4040,6/24/2024,51515,
Electricity,ECCH Lot #1 - Tenant Area,"3A2/2, 13a Assal Circle",194899,7/24/2024,42781,Jul-24,5636,6/24/2024,37145,
Electricity,ECCH Lot #1 - Tenant Area,"3A2/3, 13d Assal Circle",194900,7/24/2024,68669,Jul-24,7657,6/24/2024,61012,
Electricity,ECCH Lot #1 - Tenant Area,"3A2/4, 13c Assal Circle",194901,7/24/2024,36587,Jul-24,6094,6/24/2024,30493,
Electricity,ECCH Lot #1 - Tenant Area,"3A3/1, 2b Bwraq Court",194907,7/24/2024,10283,Jul-24,3982,6/24/2024,6301,
Electricity,ECCH Lot #1 - Tenant Area,"3A3/2, 19a Assal Circle",194968,7/24/2024,10091,Jul-24,3192,6/24/2024,6899,
Electricity,ECCH Lot #1 - Tenant Area,"3A3/2, 2a Bwraq Court",194904,7/24/2024,47837,Jul-24,4730,6/24/2024,43107,
Electricity,ECCH Lot #1 - Tenant Area,"3A3/3, 19d Assal Circle",194966,7/24/2024,17969,Jul-24,4691,6/24/2024,13278,
Electricity,ECCH Lot #1 - Tenant Area,"3A3/3, 2d Bwraq Court",194905,7/24/2024,56405,Jul-24,6420,6/24/2024,49985,
Electricity,ECCH Lot #1 - Tenant Area,"3A3/4, 2c Bwraq Court",194906,7/24/2024,68116,Jul-24,8517,6/24/2024,59599,
Electricity,ECCH Lot #1 - Tenant Area,"3A4/1, 1b Bwraq Court ",194908,7/24/2024,61933,Jul-24,6915,6/24/2024,55018,
Electricity,ECCH Lot #1 - Tenant Area,"3A4/2, 1a Bwraq Court",194909,7/24/2024,56732,Jul-24,5975,6/24/2024,50757,
Electricity,ECCH Lot #1 - Tenant Area,"3A4/3, 1d Bwraq Court",194910,7/24/2024,51855,Jul-24,7488,6/24/2024,44367,
Electricity,ECCH Lot #1 - Tenant Area,"3A4/4, 1c Bwraq Court",194911,7/24/2024,87334,Jul-24,10342,6/24/2024,76992,
Electricity,ECCH Lot #1 - Tenant Area,"3D1, 3a Jafna Court",194922,7/24/2024,89435,Jul-24,8937,6/24/2024,80498,
Electricity,ECCH Lot #1 - Tenant Area,"3D10, 9b Bagraa Court",194977,7/24/2024,93463,Jul-24,11320,6/24/2024,82143,
Electricity,ECCH Lot #1 - Tenant Area,"3D11, 8a Bagraa Court",194978,7/24/2024,89235,Jul-24,9462,6/24/2024,79773,
Electricity,ECCH Lot #1 - Tenant Area,"3D12, 8b Bagraa Court",194979,7/24/2024,82454,Jul-24,7789,6/24/2024,74665,
Electricity,ECCH Lot #1 - Tenant Area,"3D13, 3a Jethjath Court",194851,7/24/2024,73009,Jul-24,8657,6/24/2024,64352,
Electricity,ECCH Lot #1 - Tenant Area,"3D14, 3b Jethjath Court",194852,7/24/2024,80891,Jul-24,7798,6/24/2024,73093,
Electricity,ECCH Lot #1 - Tenant Area,"3D15, 2a Jethjath Court",194853,7/24/2024,75383,Jul-24,8016,6/24/2024,67367,
Electricity,ECCH Lot #1 - Tenant Area,"3D16, 2b Jethjath Court",194854,7/24/2024,91082,Jul-24,10608,6/24/2024,80474,
Electricity,ECCH Lot #1 - Tenant Area,"3D17, 1a Jethjath Court",194855,7/24/2024,82695,Jul-24,8466,6/24/2024,74229,
Electricity,ECCH Lot #1 - Tenant Area,"3D18, 1b Jethjath Court",194856,7/24/2024,89401,Jul-24,10481,6/24/2024,78920,
Electricity,ECCH Lot #1 - Tenant Area,"3D19, 11a Assal Circle",194884,7/24/2024,114890,Jul-24,10151,6/24/2024,104739,
Electricity,ECCH Lot #1 - Tenant Area,"3D2, 3b Jafna Court",194924,7/24/2024,79234,Jul-24,9116,6/24/2024,70118,
Electricity,ECCH Lot #1 - Tenant Area,"3D20, 11b Assal Circle",194885,7/24/2024,62735,Jul-24,6195,6/24/2024,56540,
Electricity,ECCH Lot #1 - Tenant Area,"3D21, 9a Khatme Street",194886,7/24/2024,80829,Jul-24,9709,6/24/2024,71120,
Electricity,ECCH Lot #1 - Tenant Area,"3D22, 9b Khatme Street",194887,7/24/2024,82796,Jul-24,6597,6/24/2024,76199,
Electricity,ECCH Lot #1 - Tenant Area,"3D23, 7a Khatme Street",194888,7/24/2024,70965,Jul-24,9188,6/24/2024,61777,
Electricity,ECCH Lot #1 - Tenant Area,"3D24, 7b Khatme Street",194857,7/24/2024,84026,Jul-24,7827,6/24/2024,76199,
Electricity,ECCH Lot #1 - Tenant Area,"3D25, 5a Khatme Street",194858,7/24/2024,80332,Jul-24,8252,6/24/2024,72080,
Electricity,ECCH Lot #1 - Tenant Area,"3D26, 5b Khatme Street",194859,7/24/2024,63332,Jul-24,7904,6/24/2024,55428,
Electricity,ECCH Lot #1 - Tenant Area,"3D27, 3a Khatme Street",194860,7/24/2024,71218,Jul-24,9692,6/24/2024,61526,
Electricity,ECCH Lot #1 - Tenant Area,"3D28, 3b Khatme Street",194861,7/24/2024,93035,Jul-24,9852,6/24/2024,83183,
Electricity,ECCH Lot #1 - Tenant Area,"3D29, 1a Khatme Street",194862,7/24/2024,124415,Jul-24,13389,6/24/2024,111026,
Electricity,ECCH Lot #1 - Tenant Area,"3D3, 2a Jafna Court",194925,7/24/2024,88181,Jul-24,8581,6/24/2024,79600,
Electricity,ECCH Lot #1 - Tenant Area,"3D30, 1b Khatme Street",194863,7/24/2024,66676,Jul-24,6219,6/24/2024,60457,
Electricity,ECCH Lot #1 - Tenant Area,"3D31, 2a Bakhrati Court",194800,7/24/2024,68324,Jul-24,7481,6/24/2024,60843,
Electricity,ECCH Lot #1 - Tenant Area,"3D32, 2b Bakhrati Court",194801,7/24/2024,104169,Jul-24,11749,6/24/2024,92420,
Electricity,ECCH Lot #1 - Tenant Area,"3D33, 1a Bakhrati Court",194802,7/24/2024,90396,Jul-24,6684,6/24/2024,83712,
Electricity,ECCH Lot #1 - Tenant Area,"3D34, 1b Bakhrati Court",194803,7/24/2024,90225,Jul-24,10481,6/24/2024,79744,
Electricity,ECCH Lot #1 - Tenant Area,"3D35, 7a Assal Circle",194804,7/24/2024,63314,Jul-24,7655,6/24/2024,55659,
Electricity,ECCH Lot #1 - Tenant Area,"3D36, 7b Assal Circle",194805,7/24/2024,98355,Jul-24,7071,6/24/2024,91284,
Electricity,ECCH Lot #1 - Tenant Area,"3D37, 10a Hawzan Court",194806,7/24/2024,53085,Jul-24,2613,6/24/2024,50472,
Electricity,ECCH Lot #1 - Tenant Area,"3D38, 10b Hawzan Court",194807,7/24/2024,85143,Jul-24,8796,6/24/2024,76347,
Electricity,ECCH Lot #1 - Tenant Area,"3D39, 9a Hawzan Court",194808,7/24/2024,68720,Jul-24,7134,6/24/2024,61586,
Electricity,ECCH Lot #1 - Tenant Area,"3D4, 2b Jafna Court",194926,7/24/2024,88543,Jul-24,12053,6/24/2024,76490,
Electricity,ECCH Lot #1 - Tenant Area,"3D40, 9b Hawzan Court",194809,7/24/2024,79679,Jul-24,8596,6/24/2024,71083,
Electricity,ECCH Lot #1 - Tenant Area,"3D41, 8a Hawzan Court",194810,7/24/2024,95666,Jul-24,8010,6/24/2024,87656,
Electricity,ECCH Lot #1 - Tenant Area,"3D42, 8b Hawzan Court",194811,7/24/2024,54077,Jul-24,6564,6/24/2024,47513,
Electricity,ECCH Lot #1 - Tenant Area,"3D43, 3a Turbah Court",195003,7/24/2024,61656,Jul-24,0,6/24/2024,61656,
Electricity,ECCH Lot #1 - Tenant Area,"3D44, 3b Turbah Court",195004,7/24/2024,88811,Jul-24,10709,6/24/2024,78102,
Electricity,ECCH Lot #1 - Tenant Area,"3D45, 2a Turbah Court",195005,7/24/2024,29570,Jul-24,8313,6/24/2024,21257,
Electricity,ECCH Lot #1 - Tenant Area,"3D46, 2b Turbah Court",195006,7/24/2024,60361,Jul-24,7381,6/24/2024,52980,
